[',', 'N', 'a', 'm', 'e', ',', 'A', 'B', 'V', ',', 'S', 'e', 'r', 'v', 'e', 'd', ' ', 'I', 'n', ',', 'P', 'r', 'i', 'c', 'e']

Troegs Blizzard of Hops Winter IPA,6.4,16oz Cask,$5
,Name,ABV,Served In,Price

Troegs Blizzard of Hops Winter IPA,6.4,16oz Cask,$5

Alvinne Omega,6.0,10oz Draft,$10
Barrier RipRap Baltic Porter,8.2,10oz Draft,$6
Baxter Bootleg Fireworks Double IPA,9.0,16oz Draft,$7
Bell's Lager Of The Lakes,5.0,16oz Draft,$5
Black Hog Granola Brown,5.5,16oz Draft,$5
Brooklyn Insulated Dark Lager,5.6,16oz Draft,$5
Brooklyn Lager,5.2,16oz Draft,$4
Dogfish Head Namaste,4.8,16oz Draft,$5
Downeast Barrel Project #11,10oz Draft,$5
Downeast Cider Original Blend,5.1,16oz Draft,$5
Good Nature Cheval De Trait,10oz Draft,$5
Goose Island Matilda,7.0,10oz Draft,$6
Greenport Harbor Anti-Freeze Winter Ale,6.9,16oz Draft,$5
Hill Farmstead Conduct of Life #1,5.0,16oz Draft,$7
Jack's Abby Leisure Time Lager,4.8,16oz Draft,$5
Kasteel Barista Chocolate Quad,11.0,10oz Draft,$7
Kent Falls Dekkera Brett Table Beer,4.0,16oz Draft,$7
Kiuchi Hitachino Nest Commemorative Ale,10oz Draft,$10
Kulmbacher Kapuziner Weissbier,5.4,16oz Draft,$5
Left Hand Milk Stout Nitro,6.0,16oz Draft,$5
Long Trail Triple Bag,9.2,10oz Draft,$6
Nine Pin Cider,6.7,10oz Draft,$6
Ommegang Rare Vos,6.5,16oz Draft,$5
Other Half/Garage Brewing Chesterfield Dreams,3.5,10oz Draft,$6
Other Half Super Nugget,7.1,16oz Draft,$7
Petrus Aged Red Ale,8.5,10oz Draft,$9
Sierra Nevada Pale Ale,5.6,16oz Draft,$5
Switchback Ale,5.0,16oz Draft,$4
Troegs Hop Back Amber,6.0,16oz Draft,$4
Troegs Hop Knife IPA,6.8,16oz Draft,$5
Two Roads Roadsmary's Baby Pumpkin,6.8,16oz Draft,$6
,Name,ABV,Served In,Price

Troegs Blizzard of Hops Winter IPA,6.4,16oz Cask,$5

Alvinne Omega,6.0,10oz Draft,$10
Barrier RipRap Baltic Porter,8.2,10oz Draft,$6
Baxter Bootleg Fireworks Double IPA,9.0,16oz Draft,$7
Bell's Lager Of The Lakes,5.0,16oz Draft,$5
Black Hog Granola Brown,5.5,16oz Draft,$5
Brooklyn Insulated Dark Lager,5.6,16oz Draft,$5
Brooklyn Lager,5.2,16oz Draft,$4
Dogfish Head Namaste,4.8,16oz Draft,$5
Downeast Barrel Project #11,10oz Draft,$5
Downeast Cider Original Blend,5.1,16oz Draft,$5
Good Nature Cheval De Trait,10oz Draft,$5
Goose Island Matilda,7.0,10oz Draft,$6
Greenport Harbor Anti-Freeze Winter Ale,6.9,16oz Draft,$5
Hill Farmstead Conduct of Life #1,5.0,16oz Draft,$7
Jack's Abby Leisure Time Lager,4.8,16oz Draft,$5
Kasteel Barista Chocolate Quad,11.0,10oz Draft,$7
Kent Falls Dekkera Brett Table Beer,4.0,16oz Draft,$7
Kiuchi Hitachino Nest Commemorative Ale,10oz Draft,$10
Kulmbacher Kapuziner Weissbier,5.4,16oz Draft,$5
Left Hand Milk Stout Nitro,6.0,16oz Draft,$5
Long Trail Triple Bag,9.2,10oz Draft,$6
Nine Pin Cider,6.7,10oz Draft,$6
Ommegang Rare Vos,6.5,16oz Draft,$5
Other Half/Garage Brewing Chesterfield Dreams,3.5,10oz Draft,$6
Other Half Super Nugget,7.1,16oz Draft,$7
Petrus Aged Red Ale,8.5,10oz Draft,$9
Sierra Nevada Pale Ale,5.6,16oz Draft,$5
Switchback Ale,5.0,16oz Draft,$4
Troegs Hop Back Amber,6.0,16oz Draft,$4
Troegs Hop Knife IPA,6.8,16oz Draft,$5
Two Roads Roadsmary's Baby Pumpkin,6.8,16oz Draft,$6

Allagash Cuv'ee,12.7oz Bottle,$30
Allagash Dubbel,7.0,12oz Bottle,$5
Allagash Saison Ale,6.1,12oz Bottle,$5
Allagash Tripel,9.0,12oz Bottle,$5
Bell's Oarsman Ale,4.0,12oz Bottle,$5
Boulder Shake Chocolate Porter,5.9,12oz Bottle,$5
Crabbie's Alcoholic Ginger Beer,4.8,11oz Bottle,$5
Crooked Stave St. Bretta Autumn,5.5,12.7oz Bottle,$13
Mikkeller Beer Geek Breakfast Stout,7.5,11.2oz Bottle,$12
Orval Trappist,6.2,11oz Bottle,$9
Steadfast Golden Blonde,5.5,12oz Bottle,$5
Steadfast Sorghum Pale Ale,6.8,12oz Bottle,$5
The Spencer Trappist Ale,6.5,11oz Bottle,$8
,Name,ABV,Served In,Price

Troegs Blizzard of Hops Winter IPA,6.4,16oz Cask,$5

Alvinne Omega,6.0,10oz Draft,$10
Barrier RipRap Baltic Porter,8.2,10oz Draft,$6
Baxter Bootleg Fireworks Double IPA,9.0,16oz Draft,$7
Bell's Lager Of The Lakes,5.0,16oz Draft,$5
Black Hog Granola Brown,5.5,16oz Draft,$5
Brooklyn Insulated Dark Lager,5.6,16oz Draft,$5
Brooklyn Lager,5.2,16oz Draft,$4
Dogfish Head Namaste,4.8,16oz Draft,$5
Downeast Barrel Project #11,10oz Draft,$5
Downeast Cider Original Blend,5.1,16oz Draft,$5
Good Nature Cheval De Trait,10oz Draft,$5
Goose Island Matilda,7.0,10oz Draft,$6
Greenport Harbor Anti-Freeze Winter Ale,6.9,16oz Draft,$5
Hill Farmstead Conduct of Life #1,5.0,16oz Draft,$7
Jack's Abby Leisure Time Lager,4.8,16oz Draft,$5
Kasteel Barista Chocolate Quad,11.0,10oz Draft,$7
Kent Falls Dekkera Brett Table Beer,4.0,16oz Draft,$7
Kiuchi Hitachino Nest Commemorative Ale,10oz Draft,$10
Kulmbacher Kapuziner Weissbier,5.4,16oz Draft,$5
Left Hand Milk Stout Nitro,6.0,16oz Draft,$5
Long Trail Triple Bag,9.2,10oz Draft,$6
Nine Pin Cider,6.7,10oz Draft,$6
Ommegang Rare Vos,6.5,16oz Draft,$5
Other Half/Garage Brewing Chesterfield Dreams,3.5,10oz Draft,$6
Other Half Super Nugget,7.1,16oz Draft,$7
Petrus Aged Red Ale,8.5,10oz Draft,$9
Sierra Nevada Pale Ale,5.6,16oz Draft,$5
Switchback Ale,5.0,16oz Draft,$4
Troegs Hop Back Amber,6.0,16oz Draft,$4
Troegs Hop Knife IPA,6.8,16oz Draft,$5
Two Roads Roadsmary's Baby Pumpkin,6.8,16oz Draft,$6

Allagash Cuv'ee,12.7oz Bottle,$30
Allagash Dubbel,7.0,12oz Bottle,$5
Allagash Saison Ale,6.1,12oz Bottle,$5
Allagash Tripel,9.0,12oz Bottle,$5
Bell's Oarsman Ale,4.0,12oz Bottle,$5
Boulder Shake Chocolate Porter,5.9,12oz Bottle,$5
Crabbie's Alcoholic Ginger Beer,4.8,11oz Bottle,$5
Crooked Stave St. Bretta Autumn,5.5,12.7oz Bottle,$13
Mikkeller Beer Geek Breakfast Stout,7.5,11.2oz Bottle,$12
Orval Trappist,6.2,11oz Bottle,$9
Steadfast Golden Blonde,5.5,12oz Bottle,$5
Steadfast Sorghum Pale Ale,6.8,12oz Bottle,$5
The Spencer Trappist Ale,6.5,11oz Bottle,$8

Black Hog Granola Brown,5.5,12oz Can,$5
Butternuts Porkslap Pale Ale,4.3,12oz Can,$4
Founders All Day IPA,4.7,12oz Can,$5
Lost Nation Gose,4.5,16oz Can,$7
Oskar Blues Dale's Pale Ale,6.5,12oz Can,$5
Oskar Blues Old Chub,8.0,12oz Can,$5
Oskar Blues Pinner Throwback IPA,4.9,12oz Can,$5
Regatta Artisanal Ginger Beer,8oz Can,$2
Sierra Nevada Pale Ale,5.6,16oz Can,$5
Sierra Nevada Torpedo Extra IPA,7.2,12oz Can,$5
Two Roads Road Jam,5.0,12oz Can,$5
,Name,ABV,Served In,Price

Troegs Blizzard of Hops Winter IPA,6.4,16oz Cask,$5

Alvinne Omega,6.0,10oz Draft,$10
Barrier RipRap Baltic Porter,8.2,10oz Draft,$6
Baxter Bootleg Fireworks Double IPA,9.0,16oz Draft,$7
Bell's Lager Of The Lakes,5.0,16oz Draft,$5
Black Hog Granola Brown,5.5,16oz Draft,$5
Brooklyn Insulated Dark Lager,5.6,16oz Draft,$5
Brooklyn Lager,5.2,16oz Draft,$4
Dogfish Head Namaste,4.8,16oz Draft,$5
Downeast Barrel Project #11,10oz Draft,$5
Downeast Cider Original Blend,5.1,16oz Draft,$5
Good Nature Cheval De Trait,10oz Draft,$5
Goose Island Matilda,7.0,10oz Draft,$6
Greenport Harbor Anti-Freeze Winter Ale,6.9,16oz Draft,$5
Hill Farmstead Conduct of Life #1,5.0,16oz Draft,$7
Jack's Abby Leisure Time Lager,4.8,16oz Draft,$5
Kasteel Barista Chocolate Quad,11.0,10oz Draft,$7
Kent Falls Dekkera Brett Table Beer,4.0,16oz Draft,$7
Kiuchi Hitachino Nest Commemorative Ale,10oz Draft,$10
Kulmbacher Kapuziner Weissbier,5.4,16oz Draft,$5
Left Hand Milk Stout Nitro,6.0,16oz Draft,$5
Long Trail Triple Bag,9.2,10oz Draft,$6
Nine Pin Cider,6.7,10oz Draft,$6
Ommegang Rare Vos,6.5,16oz Draft,$5
Other Half/Garage Brewing Chesterfield Dreams,3.5,10oz Draft,$6
Other Half Super Nugget,7.1,16oz Draft,$7
Petrus Aged Red Ale,8.5,10oz Draft,$9
Sierra Nevada Pale Ale,5.6,16oz Draft,$5
Switchback Ale,5.0,16oz Draft,$4
Troegs Hop Back Amber,6.0,16oz Draft,$4
Troegs Hop Knife IPA,6.8,16oz Draft,$5
Two Roads Roadsmary's Baby Pumpkin,6.8,16oz Draft,$6

Allagash Cuv'ee,12.7oz Bottle,$30
Allagash Dubbel,7.0,12oz Bottle,$5
Allagash Saison Ale,6.1,12oz Bottle,$5
Allagash Tripel,9.0,12oz Bottle,$5
Bell's Oarsman Ale,4.0,12oz Bottle,$5
Boulder Shake Chocolate Porter,5.9,12oz Bottle,$5
Crabbie's Alcoholic Ginger Beer,4.8,11oz Bottle,$5
Crooked Stave St. Bretta Autumn,5.5,12.7oz Bottle,$13
Mikkeller Beer Geek Breakfast Stout,7.5,11.2oz Bottle,$12
Orval Trappist,6.2,11oz Bottle,$9
Steadfast Golden Blonde,5.5,12oz Bottle,$5
Steadfast Sorghum Pale Ale,6.8,12oz Bottle,$5
The Spencer Trappist Ale,6.5,11oz Bottle,$8

Black Hog Granola Brown,5.5,12oz Can,$5
Butternuts Porkslap Pale Ale,4.3,12oz Can,$4
Founders All Day IPA,4.7,12oz Can,$5
Lost Nation Gose,4.5,16oz Can,$7
Oskar Blues Dale's Pale Ale,6.5,12oz Can,$5
Oskar Blues Old Chub,8.0,12oz Can,$5
Oskar Blues Pinner Throwback IPA,4.9,12oz Can,$5
Regatta Artisanal Ginger Beer,8oz Can,$2
Sierra Nevada Pale Ale,5.6,16oz Can,$5
Sierra Nevada Torpedo Extra IPA,7.2,12oz Can,$5
Two Roads Road Jam,5.0,12oz Can,$5

Naked Flock Apple Cider Original,6.8,22oz Bottle,$12
